year,title,rating,rank
1984,Sixteen Candles,7.1,314
2007,There Will Be Blood,8.1,315
2012,Rise of the Guardians,7.2,316
2012,Sinister,6.7,317
1985,The Goonies,7.6,318
2013,Beautiful Creatures,6,319
2003,Oldeuboi,8.4,320
2004,Eternal Sunshine of the Spotless Mind,8.4,321
1997,Good Will Hunting,8.2,322
2010,Alice in Wonderland,6.5,323
2004,Troy,7.1,324
2007,Shooter,7.1,325
2010,Percy Jackson & the Olympians: The Lightning Thief,5.8,326
2012,Dark Shadows,6.2,327
2010,Scott Pilgrim vs. the World,7.5,328
2011,Sucker Punch,6,329
1975,One Flew Over the Cuckoo's Nest,8.8,330
2013,Scary MoVie,3.4,331
1998,American History X,8.6,332
1995,The Usual Suspects,8.7,333
1982,E.T. the Extra-Terrestrial,7.9,334
2003,The Lord of the Rings: The Return of the King,8.9,335
2014,Sin City: A Dame to Kill For,336
1983,Scarface,8.2,337
1971,A Clockwork Orange,8.4,338
2013,Grudge Match,339
2013,The Secret Life of Walter Mitty,340
2005,V for Vendetta,8.2,341
2013,Drinking Buddies,6.1,342
2008,Pineapple Express,6.9,343
2013,Jack Ryan: Shadow One,344
2000,Memento,8.6,345
2013,Europa Report,6.5,347
2013,How I Live Now,6.8,348
2008,Cloverfield,7.1,350
2010,Easy A,7.1,352
2004,The Punisher,6.3,353
2012,Lo imposible,7.5,354
1994,Leon,8.6,355
1989,Dead Poets Society,7.9,356
2014,Noah,357
2010,Tangled,7.8,358
2010,The Social Network,7.8,359
2011,Paul,7,360
2000,American Psycho,7.5,361
2010,Love & Other Drugs,6.6,362
2014,About Last Night,363
2000,The Emperor's New Groove,7.2,364
2013,Jack the Giant Slayer,6.3,365
1982,Star Trek: The Wrath of Khan,7.7,367
1995,Heat,8.3,368
1999,10 Things I Hate About You,7,369
2005,Star Wars: Episode III - Revenge of the Sith,7.7,371
2007,No Country for Old Men,8.2,372
1978,Grease,7.1,373
2011,Limitless,7.3,374
2009,Zombieland,7.7,375
2010,Shutter Island,8,376
2002,Lilo & Stitch,7,377
2013,Blue Caprice,6,378
2011,50/50,7.8,379
2004,Anchorman: The Legend of Ron Burgundy,7.1,380
2010,How to Train Your Dragon,8.1,381
2013,Killing Season,5.3,382
2012,Moonrise Kingdom,7.8,383
2016,Pirates of the Caribbean: Dead Men Tell No Tales,384
2013,Identity Thief,5.6,385
2005,Harry Potter and the Goblet of Fire,7.5,386
1987,RoboCop,7.5,387
2014,The Fault in Our Stars,388
2006,Inside Man,7.6,389
1983,The Outsiders,7,390
2013,47 Ronin,391
2010,Burlesque,6.1,392
2012,John Carter,6.6,393
2013,All Is Lost,7.1,395
1957,12 Angry Men,8.9,396
2012,V/H/S,5.7,397
2009,X-Men Origins: Wolverine,6.7,398
2000,Snatch.,8.3,399
1996,Independence Day,6.8,400
2013,+1,5.6,401
1996,Romeo + Juliet,6.8,402
1975,The Rocky Horror Picture Show,7.2,403
2013,Getaway,4.1,404
2005,Hooligans,7.4,405
2012,Total Recall,6.2,406
2007,28 Weeks Later,7,407
1992,Reservoir Dogs,8.4,408
1993,Dazed and Confused,7.6,409
2002,Spider-Man,7.3,410
2006,The Covenant,4.9,411
2012,Battleship,5.8,412
2001,Ocean's Eleven,7.7,413
2001,Sen to Chihiro no kamikakushi,8.6,414
2011,The Inbetweeners Movie,6.7,415
2001,The Fast and the Furious,6.4,416
2012,Ruby Sparks,7.1,417
1986,Top Gun,6.7,418
2014,Foxcatcher,419
1991,Terminator 2: Judgment Day,8.5,420
2004,Man on Fire,7.7,421
2005,Brokeback Mountain,7.6,422
1986,Stand by Me,8.1,423
2011,Midnight in Paris,7.7,424
2012,The Vow,6.7,425
2013,Snitch,6.5,426
2013,Broken City,6.1,427
2011,Fast Five,7.2,428
1979,Alien,8.5,429
2011,Abduction,4.8,430
2009,The Blind Side,7.6,431
2013,21 & Over,5.6,432
2005,Pride & Prejudice,7.7,433
2007,Transformers,7.1,434
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.8,435
2013,Dark Skies,6.2,436
2012,That's My Boy,5.5,437
2012,Seven Psychopaths,7.2,438
2011,I Am Number Four,6,439
1990,Teenage Mutant Ninja Turtles,6.4,440
2004,Million Dollar Baby,8.1,441
1979,Apocalypse Now,8.6,442
