year,title,rating,rank
2012,Fun Size,5.1,1710
2001,Monster's Ball,7.1,1711
1937,Snow White and the Seven Dwarfs,7.7,1712
2004,Sleepover,4.8,1713
2004,Primer,6.9,1714
1944,Lifeboat,7.8,1716
2013,The Double,6.9,1718
1990,Dick Tracy,6,1719
1961,West Side Story,7.6,1720
2010,Takers,6,1721
2010,Don't Be Afraid of the Dark,5.5,1722
2010,The Back-up Plan,4.9,1723
2012,The Rise,6.2,1724
1988,Heathers,7.2,1725
2008,Australia,6.5,1726
1989,Say Anything...,7.4,1727
2008,What Happens in Vegas,5.9,1728
2002,Treasure Planet,6.8,1729
2005,The Constant Gardener,7.5,1730
1998,The Mask of Zorro,6.7,1731
2000,Men of Honor,6.9,1732
1979,Moonraker,6.2,1733
2007,The Hitcher,5.5,1734
2008,Speed Racer,6,1735
1995,Sense and Sensibility,7.6,1736
2010,Devil,6.2,1737
2009,Surrogates,6.2,1738
2009,Triangle,6.8,1739
1998,Hope Floats,5.5,1740
2005,Waiting...,6.7,1741
1997,La vita e bella,8.5,1742
2011,Take Shelter,7.4,1744
2003,21 Grams,7.7,1745
2006,Aquamarine,4.9,1746
2009,Night at the Museum: Battle of the Smithsonian,5.8,1747
2000,"Me, Myself & Irene",6.4,1748
2010,Leap Year,6.1,1749
1971,The Omega Man,6.5,1750
2008,Martyrs,6.9,1751
2012,John Dies at the End,6.4,1752
1984,This Is Spinal Tap,7.9,1753
2013,Kaze tachinu,7.7,1754
2004,The Terminal,7.2,1755
1995,Billy Madison,6.3,1756
2005,A Lot Like Love,6.4,1757
1984,Beverly Hills Cop,7.3,1758
2002,Murder by Numbers,6,1759
2010,Centurion,6.3,1760
1993,Robin Hood: Men in Tights,6.4,1762
2006,The Last King of Scotland,7.7,1763
1959,Some Like It Hot,8.4,1764
2013,The Dyatlov Pass Incident,5.3,1765
2000,Battlefield Earth,2.4,1766
1973,The Sting,8.3,1767
2001,Jay and Silent Bob Strike Back,6.8,1768
2011,Monte Carlo,5.5,1769
1985,Commando,6.5,1770
2013,Dhoom 3,1771
1979,Mad Max,7,1772
2007,Shrek the Third,6,1773
2011,The Devil's Double,7.1,1774
2005,Saw II,6.5,1775
1989,Road House,6.1,1776
2010,Faster,6.4,1777
2001,From Hell,6.8,1778
2009,The Boondock Saints II: All Saints Day,6.2,1779
2004,Resident Evil: Apocalypse,6,1780
2007,Nancy Drew,5.7,1781
2013,Love and Honor,5.4,1782
2003,The Rundown,6.6,1783
1956,Giant,7.6,1784
1989,Ghostbusters II,6.3,1785
2012,Gallowwalkers,3.9,1786
2006,All the Boys Love Mandy Lane,5.6,1787
2007,Michael Clayton,7.3,1789
1995,Hackers,5.9,1790
2014,Chef,1791
1992,A League of Their Own,7,1792
1980,Caddyshack,7.2,1793
1997,Tomorrow Never Dies,6.4,1794
1998,What Dreams May Come,6.7,1795
2007,Evan Almighty,5.4,1796
2008,Valkyrie,7.1,1797
2013,Vehicle 19,4.5,1798
1989,Licence to Kill,6.5,1799
2007,The Lookout,7.1,1800
2007,The Bucket List,7.3,1801
1999,The Ninth Gate,6.6,1802
2011,The Roommate,4.6,1803
2004,Cellular,6.4,1805
2006,Cashback,7.2,1806
2012,The Sapphires,6.8,1807
2008,Eagle Eye,6.5,1808
2010,Little Fockers,5.3,1809
2009,Bride Wars,5.1,1810
2007,The Nanny Diaries,6,1811
2013,The Devil You Know,4.2,1812
1994,The Flintstones,4.7,1813
2013,Philomena,6.5,1814
1993,Hot Shots! Part Deux,6.4,1816
2010,Monsters,6.3,1817
2000,Miss Congeniality,6,1818
2009,The Fourth Kind,5.8,1819
1999,Galaxy Quest,7.2,1820
1995,Judge Dredd,5.2,1821
2008,The Spirit,4.8,1822
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,1823
2013,Linsanity,5.1,1824
2010,The Ghost Writer,7.3,1825
2006,Employee of the Month,5.3,1826
2008,Disaster Movie,1.8,1827
1993,Sleepless in Seattle,6.7,1828
1994,D2: The Mighty Ducks,5.4,1829
2003,Lara Croft Tomb Raider: The Cradle of Life,5.3,1830
2007,El orfanato,7.5,1831
2002,The Scorpion King,5.4,1832
1970,MASH,7.6,1833
2000,Meet the Parents,7,1834
1951,Alice in Wonderland,7.4,1835
1997,Contact,7.3,1836
1979,Star Trek: The Motion Picture,6.3,1837
2012,Broken,7.1,1838
1995,Now and Then,6.3,1839
1995,Mr. Holland's Opus,7.1,1841
2011,Grave Encounters,6,1842
2008,The Rocker,6.1,1843
1984,Star Trek III: The Search for Spock,6.5,1844
2008,"Angus, Thongs and Perfect Snogging",6.2,1845
1998,Deep Impact,6,1846
2000,Pay It Forward,6.9,1847
1981,An American Werewolf in London,7.5,1848
1999,Drop Dead Gorgeous,6.3,1849
2010,Killers,5.2,1850
2007,Mr. Brooks,7.3,1851
2006,This Is England,7.6,1852
2002,Adaptation.,7.7,1853
2012,The Cold Light of Day,4.8,1854
2009,Crank: High Voltage,6.1,1855
1993,Falling Down,7.5,1856
2007,I'm Not There.,6.8,1857
2011,Young Adult,6.4,1858
2005,Rent,6.7,1860
2002,Bend It Like Beckham,6.7,1861
1985,Brazil,7.9,1862
2006,Once,7.9,1863
2013,Grace Unplugged,1864
1998,Stepmom,6.3,1865
2014,Untitled Terrence Malick Project,1866
1988,Hotaru no haka,8.4,1867
1998,Elizabeth,7.5,1868
2012,The Tall Man,5.9,1869
2011,The Divide,5.8,1870
1996,Lone Star,7.5,1871
1989,Do the Right Thing,7.8,1874
2009,Where the Wild Things Are,6.8,1875
2013,Blood of Redemption,4.2,1876
1997,Spawn,5,1877
2007,Shoot 'Em Up,6.7,1878
2009,3 Idiots,8.2,1879
2005,Aeon Flux,5.4,1880
1980,Cannibal Holocaust,5.9,1881
2009,Valhalla Rising,5.9,1882
1935,The 39 Steps,7.9,1883
2006,The Black Dahlia,5.5,1884
2005,Thank You for Smoking,7.6,1885
2009,My Bloody Valentine,5.4,1886
1987,The Running Man,6.5,1887
2007,4: Rise of the Silver Surfer,5.6,1888
2003,Anger Management,6.1,1889
2008,Horton Hears a Who!,6.9,1890
1998,EverAfter,6.7,1891
2007,Resident Evil: Extinction,6.2,1892
2007,Blades of Glory,6.3,1893
1992,Of Mice and Men,7.4,1894
2002,Hart's War,6.2,1895
2012,The Pirates! In an Adventure with Scientists!,6.7,1896
2007,Meet the Robinsons,6.8,1897
2011,Jack and Jill,3.4,1898
2007,Wild Hogs,5.8,1899
2001,Enemy at the Gates,7.5,1900
1993,The Fugitive,7.8,1901
2001,Serendipity,6.7,1902
2009,Dragonball Evolution,3,1904
2011,A Very Harold & Kumar 3D Christmas,6.3,1905
2013,Bad Milo!,5.4,1906
2013,The Congress,6.4,1907
1988,Nuovo Cinema Paradiso,8.4,1908
2004,The Manchurian Candidate,6.6,1909
2014,Heart of the Sea,1910
2008,High School Musical 3: Senior Year,4,1912
2005,The Pacifier,5.3,1914
2012,Into the White,6.9,1915
1998,Great Expectations,6.7,1916
2011,Happy Feet Two,5.8,1917
2011,The Big Year,6.1,1918
2003,A Man Apart,5.9,1919
2002,Star Trek: Nemesis,6.3,1921
2006,The Painted Veil,7.4,1922
2009,All About Steve,4.7,1923
2013,Shuddh Desi Romance,5.9,1925
2009,The Collector,6.3,1926
2010,Inside Job,8.1,1927
1951,A Streetcar Named Desire,8,1928
2011,Dream House,5.8,1929
1987,Masters of the Universe,5.1,1930
1995,Empire Records,6.5,1931
1997,I Know What You Did Last Summer,5.5,1932
1993,Homeward Bound: The Incredible Journey,6.7,1933
2009,Halloween II,4.8,1935
2012,Starlet,6.5,1936
2006,Poseidon,5.5,1937
1986,Howard the Duck,4.3,1938
2014,Paranormal Activity 5,1939
2008,Mirrors,6,1941
2003,Good Bye Lenin!,7.7,1942
2000,What Women Want,6.3,1943
1987,Lethal Weapon,7.6,1944
1994,Wyatt Earp,6.5,1945
2007,Elizabeth: The Golden Age,6.8,1946
1987,Hellraiser,7,1947
1973,Mean Streets,7.4,1948
2011,The Beaver,6.6,1949
1996,Sling Blade,8,1950
2010,Morning,6.4,1951
2010,Country Strong,6,1952
2009,Confessions of a Shopaholic,5.6,1953
2010,Buried,7,1954
1992,Sister Act,6,1955
2011,Ironclad,6.1,1956
1983,Superman III,4.8,1957
1992,Buffy the Vampire Slayer,5.4,1958
2013,As Cool as I Am,5.4,1959
1999,Jawbreaker,5,1960
1984,The Last Starfighter,6.5,1961
2005,Diary of a Mad Black Woman,5,1962
1986,Star Trek IV: The Voyage Home,7.2,1963
1969,Easy Rider,7.3,1964
2005,Just Friends,6.1,1965
1987,La Bamba,6.6,1966
2009,Case 39,6,1967
2012,Song for Marion,6.8,1968
2007,Pathfinder,5.3,1969
1998,Antz,6.6,1970
2001,Joe Dirt,5.5,1971
2005,Hide and Seek,5.7,1972
2008,The Mummy: Tomb of the Dragon Emperor,5.1,1973
1981,Excalibur,7.3,1974
1998,Festen,8,1975
1997,George of the Jungle,5.3,1977
1992,Chaplin,7.4,1978
2007,Charlie Bartlett,6.9,1979
2006,Half Nelson,7.2,1980
1995,Major Payne,5.7,1981
2009,"New York, I Love You",6.3,1982
1996,The Craft,6,1983
2005,Red Eye,6.4,1984
2011,Puss in Boots,6.6,1985
2010,For Colored Girls,5.3,1986
2013,The Last Exorcism Part II,3.9,1987
2005,The Dukes of Hazzard,4.8,1988
2010,From Paris with Love,6.4,1989
2008,The Hottie & the Nottie,1.9,1991
1956,World Without End,5.9,1992
1993,Demolition Man,6.5,1993
1987,Mannequin,5.3,1994
2013,Mandela: Long Walk to Freedom,6.4,1996
1989,Glory,7.9,1997
2010,Morning Glory,6.4,1998
2008,Gake no ue no Ponyo,7.6,2000
2009,The Unborn,4.6,2002
1998,Godzilla,5.1,2003
2013,Free Birds,6.7,2004
1995,Mallrats,7.1,2005
1991,Fried Green Tomatoes,7.4,2006
2005,Cheaper by the Dozen 2,5.2,2007
1988,Big,7.2,2008
2006,World Trade Center,6,2009
1996,James and the Giant Peach,6.7,2010
1991,Hot Shots!,6.6,2011
1985,A View to a Kill,6.2,2012
2011,Seeking Justice,6,2013
2009,I Love You Phillip Morris,6.6,2014
2006,Big Momma's House 2,4.2,2015
1989,Bill & Ted's Excellent Adventure,6.8,2016
2000,The Cell,6.2,2017
1998,Rounders,7.3,2018
2002,25th Hour,7.7,2019
2010,The Bounty Hunter,5.3,2020
1964,Per un pugno di dollari,8,2021
2012,The Act of Killing,8,2022
2000,The Perfect Storm,6.3,2023
2009,The Haunting in Connecticut,5.7,2025
2006,Beerfest,6,2026
1982,TRON,6.7,2028
1991,The People Under the Stairs,6.1,2029
2003,American Wedding,6.1,2030
1973,Papillon,8,2031
2006,Lady in the Water,5.6,2032
2002,Reign of Fire,6,2033
1998,Psycho,4.6,2035
2013,Five Thirteen,3.4,2036
1987,Evil Dead II,7.8,2037
2004,The Life Aquatic with Steve Zissou,7.2,2038
1990,Awakenings,7.6,2039
2006,The Good Shepherd,6.7,2040
1994,Star Trek: Generations,6.5,2041
1971,Vanishing Point,7.2,2042
2011,Samsara,8.2,2043
2011,Kokuriko-zaka kara,7.2,2044
2001,Joy Ride,6.5,2045
2008,Harold & Kumar Escape from Guantanamo Bay,6.5,2046
1995,La haine,8,2047
2007,The Invasion,5.9,2048
2011,A Good Old Fashioned Orgy,6.1,2049
2000,Best in Show,7.3,2050
2013,La Venus a la fourrure,7.2,2052
1990,Lord of the Flies,6.3,2053
2014,The Judge,2054
2007,National Treasure: Book of Secrets,6.4,2055
1994,PCU,6.1,2056
2000,Final Destination,6.7,2058
1990,Jacob's Ladder,7.5,2059
1995,Father of the Bride Part II,5.6,2060
2003,Girl with a Pearl Earring,6.9,2061
2002,We Were Soldiers,7,2062
2010,Last Night,6.4,2063
2001,Das Experiment,7.7,2065
2003,Johnny English,5.9,2066
1994,True Lies,7.2,2067
1989,Steel Magnolias,6.9,2068
2007,The Girl Next Door,6.7,2069
2010,Going the Distance,6.3,2071
1992,Beethoven,5.3,2072
2012,The Magic of Belle Isle,6.7,2074
1998,Les Miserables,7.3,2075
1971,Harold and Maude,8,2076
2006,Slither,6.4,2077
1974,The Longest Yard,7,2078
1994,Heavenly Creatures,7.4,2079
2006,Flushed Away,6.7,2080
2008,Fool's Gold,5.5,2081
2011,Bernie,6.7,2082
2011,Mr. Popper's Penguins,5.9,2083
2005,Monster-in-Law,5.2,2084
2007,An American Crime,7.2,2085
1994,Clerks.,7.8,2086
1994,Four Weddings and a Funeral,7,2087
2009,Fanboys,6.5,2088
2012,Dracula 3D,3.7,2089
2003,Dreamcatcher,5.4,2090
1998,Sphere,5.8,2092
2004,Starsky & Hutch,6,2093
2013,Joe,7.6,2094
2010,Trolljegeren,7,2095
2013,Frankenstein's Army,5.2,2096
2012,Dans la maison,7.3,2097
2006,Snakes on a Plane,5.6,2098
2006,Rescue Dawn,7.3,2099
1993,RoboCop 3,3.7,2100
2009,The Young Victoria,7.2,2101
2011,Larry Crowne,5.9,2102
2010,The American,6.4,2104
2012,Lay the Favorite,4.7,2105
1993,Teenage Mutant Ninja Turtles III,4.5,2106
2007,Music and Lyrics,6.5,2107
2009,El secreto de sus ojos,8.2,2108
2007,Next,6.1,2109
1999,Three Kings,7.2,2110
1968,Planet of the Apes,8,2111
2010,The Debt,6.8,2112
2011,Perfect Sense,6.9,2113
1990,Rocky V,4.8,2114
2009,Bruno,5.9,2115
1952,Singin' in the Rain,8.4,2116
2010,The Losers,6.3,2117
2006,Running Scared,7.3,2118
2005,The Skeleton Key,6.4,2119
2010,Jonah Hex,4.6,2120
2006,The Lake House,6.6,2121
1998,Rushmore,7.6,2122
1959,Sleeping Beauty,7.3,2123
1994,Ed Wood,7.9,2125
2000,Mission: Impossible II,5.9,2127
2009,The Invention of Lying,6.3,2128
1992,Glengarry Glen Ross,7.8,2129
2010,How Do You Know,5.3,2130
2012,It's a Disaster,6.4,2131
1982,The Dark Crystal,7.1,2132
2007,Death Sentence,6.7,2133
2000,High Fidelity,7.5,2134
2010,Senna,8.5,2135
2006,Final Destination 3,5.7,2136
2012,Katy Perry: Part of Me,5.4,2137
2011,360,5.9,2138
2013,Haunter,6.5,2139
1958,No Time for Sergeants,7.5,2140
2000,Wo hu cang long,7.9,2141
1970,The AristoCats,7,2142
2008,Quarantine,6,2143
2003,Charlie's Angels: Full Throttle,4.7,2145
2001,The Man Who Wasn't There,7.6,2146
2000,The Little Vampire,5.3,2147
2012,Excision,6,2149
1984,Splash,6.2,2151
2010,Somewhere,6.3,2152
2001,Spy Game,6.9,2153
2008,Journey to the Center of the Earth,5.7,2154
1990,Child's Play 2,5.3,2155
1969,Butch Cassidy and the Sundance Kid,8.2,2156
1976,Network,8.1,2157
2004,Team America: World Police,7.1,2158
2006,The Benchwarmers,5.3,2159
2001,Ali,6.6,2160
2005,The Ring Two,5.2,2161
1963,From Russia with Love,7.5,2162
2013,Get a Job,2163
2012,Lemale et ha'halal,6.4,2164
2011,Zookeeper,5,2165
1987,Harry and the Hendersons,5.7,2166
2011,The Ledge,6.4,2167
2012,Alien Uprising,3,2168
2006,A Good Year,6.8,2170
2004,Secret Window,6.5,2171
2006,Failure to Launch,5.4,2172
2004,AVP: Alien vs. Predator,5.4,2173
2013,Chennai Express,6.2,2174
2001,Save the Last Dance,5.9,2175
1955,Rebel Without a Cause,7.8,2176
1962,Dr. No,7.3,2177
2009,Whip It,6.8,2178
1997,Cube,7.4,2179
2009,Monsters vs Aliens,6.6,2180
1984,Children of the Corn,5.4,2181
1967,Cool Hand Luke,8.2,2182
2008,Outlander,6.2,2183
1999,The Insider,7.9,2184
1992,Malcolm X,7.6,2185
2012,The Baytown Outlaws,6.1,2186
2008,Passengers,5.7,2187
1993,Addams Family Values,6.4,2188
2008,Pride and Glory,6.6,2189
2002,Solaris,6.1,2190
2014,Dark Places,2191
2006,Penelope,6.8,2192
2010,Unthinkable,7,2193
2004,Around the World in 80 Days,5.6,2195
1995,Species,5.7,2196
2007,TMNT,6.3,2197
2009,The Loved Ones,6.6,2198
1999,The Cider House Rules,7.3,2200
2011,I Don't Know How She Does It,4.5,2202
2006,A Scanner Darkly,7,2203
2009,It's Complicated,6.5,2204
1996,Fear,6,2205
1980,Flash Gordon,6.3,2206
1999,Bicentennial Man,6.5,2207
2014,A Long Way Down,2208
2011,The Rite,5.8,2209
2011,Paranormal Activity 3,5.9,2210
1988,Cocktail,5.5,2211
2003,Spy Kids 3-D: Game Over,4,2212
2012,Kapringen,7.1,2213
2000,"Dude, Where's My Car?",5.3,2214
1994,Little Women,7,2215
1949,The Third Man,8.4,2216
1999,October Sky,7.7,2217
2014,Heat,2218
2006,Saw III,6.1,2219
1998,The Waterboy,5.8,2220
1976,Murder by Death,7.3,2221
2010,"Tomorrow, When the War Began",6.1,2222
2006,Stick It,6,2223
2004,I Heart Huckabees,6.6,2224
2002,Crossroads,3,2225
2011,Coriolanus,6.1,2226
2004,Taking Lives,6,2227
1999,The Haunting,4.7,2228
2008,Inkheart,6,2229
2007,The Kite Runner,7.6,2230
1940,The Great Dictator,8.5,2231
1979,Life of Brian,8.1,2232
1985,The Color Purple,7.6,2233
1996,101 Dalmatians,5.5,2234
2006,Underworld: Evolution,6.6,2235
1998,Star Trek: Insurrection,6.3,2236
2011,God Bless America,7.2,2237
1936,Modern Times,8.6,2238
2001,Jeepers Creepers,5.9,2239
1989,"The Karate Kid, Part III",4.6,2240
2006,Over the Hedge,6.8,2241
1973,Live and Let Die,6.8,2242
2011,Trespass,5.2,2243
2005,Doom,5.1,2244
1989,My Left Foot: The Story of Christy Brown,7.8,2245
2010,Legend of the Guardians: The Owls of Ga'Hoole,6.9,2246
1996,Beautiful Girls,7.1,2247
1993,Bound by Honor,7.6,2248
2009,A Serious Man,7,2249
2011,"Jeff, Who Lives at Home",6.5,2250
1988,They Live,7.1,2251
2009,Kynodontas,7.1,2252
2011,Un monstre a Paris,6.6,2253
2012,Still Mine,6.8,2254
1998,Fallen,6.8,2255
1993,In the Name of the Father,8.1,2256
1997,Kiss the Girls,6.4,2257
2008,City of Ember,6.4,2258
1993,Super Mario Bros.,3.8,2259
2003,S.W.A.T.,5.9,2260
2000,The Replacements,6.3,2261
2011,Intruders,5.3,2262
2012,Holy Motors,7,2263
2002,Ghost Ship,5.3,2264
2010,Jusan-nin no shikaku,7.6,2265
2007,88 Minutes,5.8,2266
2009,Year One,4.8,2267
2000,Billy Elliot,7.6,2268
2001,Shallow Hal,5.9,2269
2013,3096 Tage,5.6,2270
2012,Struck by Lightning,6.1,2271
2008,Frost/Nixon,7.7,2273
2012,The ABCs of Death,4.8,2274
1999,The Hurricane,7.4,2275
1957,The Bridge on the River Kwai,8.3,2276
2010,Frozen,6.2,2277
2011,The Son of No One,5,2278
1999,Mystery Men,5.9,2279
1979,Manhattan,8,2280
2016,The Flash,2281
1993,The Piano,7.5,2282
1998,Ronin,7.2,2283
2008,Madagascar: Escape 2 Africa,6.7,2284
2011,Atlas Shrugged: Part I,5.5,2285
2001,Gosford Park,7.2,2287
2012,Wish You Were Here,5.8,2288
1993,Rudy,7.4,2289
1975,Dog Day Afternoon,8.1,2290
2009,Notorious,6.4,2291
2009,The Box,5.6,2292
1996,The Frighteners,7.1,2294
2011,Silent House,5.2,2295
2009,Brooklyn's Finest,6.7,2296
2001,The Glass House,5.6,2297
2006,Nacho Libre,5.5,2298
1995,A Little Princess,7.5,2299
2001,Sweet November,6.3,2300
1992,Far and Away,6.3,2301
2014,Birdman,2302
2007,Surf's Up,6.8,2303
2013,Palo Alto,7.2,2304
2010,Green Zone,6.9,2305
1968,Romeo and Juliet,7.6,2306
2011,Season of the Witch,5.3,2307
2012,Diary of a Wimpy Kid: Dog Days,6.1,2308
2006,The Guardian,6.7,2311
2009,Fish Tank,7.3,2312
2003,Paycheck,6.1,2314
1959,Ben-Hur,8.1,2315
2007,Rendition,6.8,2316
2014,The Equalizer,2317
2010,The Experiment,6.3,2318
2006,DOA: Dead or Alive,4.7,2319
2010,Happythankyoumoreplease,6.7,2320
2001,The Score,6.8,2321
2010,Cop Out,5.5,2322
1990,Cry-Baby,6.3,2323
2005,Havoc,5.4,2324
1985,Fright Night,6.9,2325
2005,Just Like Heaven,6.6,2326
2006,"Paris, je t'aime",7.3,2327
1984,Nineteen Eighty-Four,7.1,2328
2008,Max Payne,5.3,2329
1964,My Fair Lady,7.8,2330
2013,Syrup,5.5,2331
1983,Trading Places,7.4,2332
1995,Mighty Morphin Power Rangers: The Movie,4.3,2333
2012,A Perfect Ending,5.3,2334
2005,The Squid and the Whale,7.4,2335
1959,Middle of the Night,7,2336
2003,Open Water,5.8,2337
1990,Arachnophobia,6.3,2338
2010,The Wolfman,5.8,2339
1956,The Ten Commandments,7.8,2340
1957,Paths of Glory,8.5,2341
1998,City of Angels,6.5,2343
2012,The Pact,5.7,2344
2005,Elektra,4.7,2345
2007,Sydney White,6.1,2346
2001,The Wedding Planner,4.9,2348
2010,Biutiful,7.4,2349
1988,Young Guns,6.6,2350
1993,Free Willy,5.6,2351
1977,Close Encounters of the Third Kind,7.7,2352
2005,Revolver,6.3,2353
1953,Roman Holiday,8.1,2354
1986,Nine 1/2 Weeks,5.6,2355
2009,The Rebound,6.3,2356
1974,Dark Star,6.4,2357
2008,W.,6.4,2358
2000,What Lies Beneath,6.5,2359
2012,Extracted,6.2,2360
2003,The Missing,6.4,2361
1971,Diamonds Are Forever,6.7,2362
1957,Det sjunde inseglet,8.3,2363
1983,Vacation,7.3,2364
1993,The Three Musketeers,6.1,2365
1944,Double Indemnity,8.5,2366
2012,Electrick Children,6.4,2367
2007,Bee Movie,6.1,2368
2012,Ginger & Rosa,6,2369
1973,Robin Hood,7.5,2370
2004,The Merchant of Venice,7,2371
2003,The Recruit,6.5,2373
2013,A Madea Christmas,2374
2002,Hable con ella,7.9,2375
2011,A Little Bit of Heaven,6,2376
2007,La mome,7.5,2377
2012,Save the Date,5.4,2378
2002,Nicholas Nickleby,7.1,2379
2002,Ying xiong,7.9,2380
2011,Win Win,7.2,2382
2013,A Case of You,5.4,2383
1991,Barton Fink,7.7,2384
2006,Flags of Our Fathers,7.1,2385
2002,The Sum of All Fears,6.3,2386
1996,Kingpin,6.8,2387
1953,From Here to Eternity,7.8,2390
1982,Rocky III,6.4,2391
1983,A Christmas Story,8,2392
2011,Twixt,4.9,2394
2009,Love and Other Impossible Pursuits,6.2,2395
1976,Logan's Run,6.7,2396
2010,The Last Exorcism,5.6,2397
2006,Ice Age: The Meltdown,6.8,2398
2011,Margaret,6.4,2399
2008,The Ruins,5.8,2400
2003,The Life of David Gale,7.3,2401
1982,Sophie's Choice,7.6,2402
1999,Joan of Arc,6.3,2403
2010,The Way,7.2,2404
2013,Devil's Knot,5.7,2405
2008,The Duchess,6.8,2406
1990,Hard to Kill,5.4,2407
1995,Virtuosity,5.4,2408
2014,Maggie,2409
1977,Slap Shot,7.2,2410
2006,The Wicker Man,3.6,2411
1997,Home Alone 3,3.9,2412
2012,The Sweeney,6.1,2413
2005,Domino,5.8,2414
1991,Child's Play 3,4.6,2415
2007,War,6.1,2416
2008,The Human Contract,5.1,2417
1998,Patch Adams,6.3,2419
2011,Your Sister's Sister,6.7,2420
2003,Under the Tuscan Sun,6.6,2421
1988,The Great Outdoors,6.2,2422
2003,Dogville,7.9,2423
2009,Ninja Assassin,6.2,2424
1998,Small Soldiers,6,2425
2013,Stranded,3.5,2426
2013,Tarzan,2427
2014,Big Eyes,2428
1987,Fatal Attraction,6.8,2429
2006,The Last Kiss,6.5,2430
1999,The 13th Warrior,6.4,2431
2010,London Boulevard,6.2,2432
1983,Christine,6.5,2433
2009,The Men Who Stare at Goats,6.2,2435
1996,That Thing You Do!,6.7,2436
2006,The Queen,7.4,2437
2005,Chaos,6.3,2438
1985,Teen Wolf,5.8,2439
2013,You Are Here,6.1,2440
2011,Jodaeiye Nader az Simin,8.4,2441
2013,Forbidden Ground,4.7,2442
2002,Ken Park,5.8,2443
2006,Starter for 10,6.6,2444
2011,Shark Night 3D,3.9,2445
1990,Days of Thunder,5.6,2446
2010,Animal Kingdom,7.3,2447
2005,Zathura: A Space Adventure,6.1,2448
1999,8MM,6.3,2449
2002,Phone Booth,7.1,2450
2000,Chicken Run,7.1,2451
2003,Secondhand Lions,7.4,2452
2006,In the Name of the King: A Dungeon Siege Tale,3.8,2453
2013,Besharam,4.6,2454
2005,Robots,6.3,2455
2003,Daddy Day Care,5.3,2456
2002,Two Weeks Notice,5.8,2457
2013,Heart of the Country,4.7,2458
2001,Sugar & Spice,5.3,2459
2001,Bubble Boy,5.4,2461
2004,Raising Helen,5.7,2462
2013,Lootera,7.4,2463
1989,Troop Beverly Hills,4.8,2464
2004,Wicker Park,6.8,2465
2007,The Simpsons Movie,7.4,2466
1990,Die Hard 2,7.1,2467
1988,The Naked Gun: From the Files of Police Squad!,7.6,2468
1994,Street Fighter,3.5,2469
1989,The Abyss,7.6,2470
1995,Four Rooms,6.5,2471
2000,Rules of Engagement,6.2,2473
2005,Casanova,6.4,2474
2007,Death at a Funeral,7.3,2475
1995,The Quick and the Dead,6.3,2476
2006,The Texas Chainsaw Massacre: The Beginning,5.7,2477
2008,Eden Lake,6.8,2478
2011,Attack the Block,6.6,2479
2008,Babylon A.D.,5.4,2480
1991,JFK,8,2481
2009,Agora,7.1,2482
1986,Manhunter,7.2,2483
1966,Django,7.2,2484
1960,The Magnificent Seven,7.8,2485
1986,Maximum Overdrive,5.1,2486
2003,Matchstick Men,7.3,2487
1992,Newsies,6.3,2488
1997,Scream 2,6,2489
1982,Tootsie,7.4,2490
1981,Time Bandits,6.9,2491
2009,Land of the Lost,5.2,2492
2002,Drumline,5.4,2493
2011,The Hunter,6.7,2494
2000,Finding Forrester,7.2,2495
2002,Frida,7.2,2496
2009,Ice Age: Dawn of the Dinosaurs,7,2497
2013,Hatchet III,5.4,2498
2010,You Will Meet a Tall Dark Stranger,6.2,2499
1981,The Fox and the Hound,7.1,2500
2012,Not Fade Away,5.9,2501
2009,Crossing Over,6.7,2502
2006,Monster House,6.6,2503
2003,Dr. Seuss' The Cat in the Hat,3.6,2504
2011,Gnomeo & Juliet,5.8,2505
2002,Like Mike,4.7,2506
1998,Halloween H20: 20 Years Later,5.4,2508
2001,Rock Star,5.9,2509
1995,Dead Man Walking,7.5,2510
2010,Tekken,4.8,2511
2004,After the Sunset,6.1,2512
2014,Cyber,2513
2008,Made of Honor,5.6,2514
2000,Little Nicky,5.1,2515
2002,Queen of the Damned,4.9,2516
2005,Rumor Has It...,5.4,2517
1998,Lethal Weapon 4,6.5,2518
2007,Norbit,3.7,2519
1997,The Jackal,6.2,2520
2000,Hollow Man,5.6,2521
1994,I Like It Like That,6.1,2522
2005,Be Cool,5.5,2523
2010,Edge of Darkness,6.6,2524
2011,Hop,5.3,2525
2007,The Darjeeling Limited,7.1,2526
2004,Walking Tall,6,2529
2013,Concussion,5.7,2530
2006,Candy,7.1,2531
1994,Frankenstein,6.3,2532
2013,Night Train to Lisbon,6.4,2533
1983,Terms of Endearment,7.3,2534
1996,Space Jam,5.9,2535
2003,What a Girl Wants,5.7,2536
2006,RV,5.3,2537
2006,Miami Vice,5.9,2539
1992,Death Becomes Her,6.2,2540
1997,Air Force One,6.3,2541
2012,The Broken Circle Breakdown,7.6,2542
2006,Clerks II,7.4,2543
2007,AVPR: Aliens vs Predator - Requiem,4.7,2544
2011,Albert Nobbs,6.5,2545
2000,Whatever It Takes,5.2,2546
2007,Saw IV,5.8,2547
2001,Tomcats,4.9,2548
1999,Wild Wild West,4.6,2549
2014,Inherent Vice,2550
2013,Dark Touch,5.3,2551
2013,Red Line,4.5,2552
1998,Urban Legend,5.3,2553
2007,We Own the Night,6.8,2554
2009,Race to Witch Mountain,5.7,2555
